year,month,mm
2010,Jan,163.3481334
2010,Jan,224.9605938
2010,Jan,208.4385269
2010,Jan,201.005881
2010,Jan,184.8362509
2010,Jan,207.3234296
2010,Jan,199.8141464
2010,Jan,215.5711786
2010,Jan,256.3232478
2010,Jan,198.852321
2010,Jan,240.410736
2010,Feb,128.0716071
2010,Feb,186.9414789
2010,Feb,171.8174868
2010,Feb,145.9111723
2010,Feb,132.5577022
2010,Feb,173.912272
2010,Feb,157.4175298
2010,Feb,185.1256518
2010,Feb,196.619663
2010,Feb,153.9000805
2010,Feb,155.3242628
2010,Mar,130.6570374
2010,Mar,251.2335171
2010,Mar,225.4676301
2010,Mar,185.5073046
2010,Mar,169.5149738
2010,Mar,340.6628952
2010,Mar,408.0704492
2010,Mar,236.5756005
2010,Mar,385.912072
2010,Mar,193.2725279
2010,Mar,246.8567586
2010,Apr,20.24624671
2010,Apr,75.87910579
2010,Apr,78.36931379
2010,Apr,47.1183723
2010,Apr,34.21095502
2010,Apr,146.5741491
2010,Apr,205.4375585
2010,Apr,70.40887315
2010,Apr,184.2068651
2010,Apr,61.13114818
2010,Apr,39.11655256
2010,May,8.37671473
2010,May,24.98024395
2010,May,24.4608953
2010,May,15.07425737
2010,May,10.04071786
2010,May,35.24941638
2010,May,43.15539525
2010,May,29.96465386
2010,May,58.47537299
2010,May,16.5762577
2010,May,4.131094745
2010,Jun,0.014290713
2010,Jun,0.984844575
2010,Jun,0.010074885
2010,Jun,0.622985396
2010,Jun,0
2010,Jun,1.016228554
2010,Jun,0.325988229
2010,Jun,0.375939549
2010,Jun,9.462371349
2010,Jun,0
2010,Jun,0
2010,Jul,0
2010,Jul,0.504906616
2010,Jul,0
2010,Jul,0
2010,Jul,0
2010,Jul,0.852587492
2010,Jul,0
2010,Jul,0
2010,Jul,3.999803743
2010,Jul,0
2010,Jul,0
2010,Aug,0
2010,Aug,0.11969859
2010,Aug,0
2010,Aug,0
2010,Aug,0
2010,Aug,0
2010,Aug,0
2010,Aug,0
2010,Aug,2.25579612
2010,Aug,0
2010,Aug,0
2010,Sep,0
2010,Sep,1.129840843
2010,Sep,0.018413736
2010,Sep,0
2010,Sep,0.011134552
2010,Sep,4.047248585
2010,Sep,7.367408967
2010,Sep,0
2010,Sep,9.444805046
2010,Sep,0
2010,Sep,0.037599881
2010,Oct,3.587351916
2010,Oct,6.720767471
2010,Oct,9.890165176
2010,Oct,5.608587136
2010,Oct,5.453360526
2010,Oct,4.116771884
2010,Oct,3.01765783
2010,Oct,7.348655791
2010,Oct,10.12498698
2010,Oct,7.228517402
2010,Oct,6.956783208
2010,Nov,14.18798269
2010,Nov,31.53727835
2010,Nov,32.40459754
2010,Nov,29.73569424
2010,Nov,22.84789094
2010,Nov,31.69692026
2010,Nov,20.76197778
2010,Nov,29.00216301
2010,Nov,44.10064253
2010,Nov,37.10364458
2010,Nov,20.76476479
2010,Dec,134.846888
2010,Dec,184.943949
2010,Dec,168.6629862
2010,Dec,167.3743961
2010,Dec,163.3297564
2010,Dec,199.5309894
2010,Dec,168.3157562
2010,Dec,178.3144734
2010,Dec,223.6686822
2010,Dec,156.978208
2010,Dec,182.025463
2011,Jan,136.8773909
2011,Jan,181.3197579
2011,Jan,157.3640012
2011,Jan,148.9279855
2011,Jan,157.7193619
2011,Jan,157.0809467
2011,Jan,156.0052845
2011,Jan,181.7607779
2011,Jan,202.1594058
2011,Jan,141.1357768
2011,Jan,169.1614725
2011,Feb,140.1554791
2011,Feb,200.820618
2011,Feb,173.1695137
2011,Feb,144.9481002
2011,Feb,117.9878326
2011,Feb,198.7761934
2011,Feb,233.6254369
2011,Feb,194.4818435
2011,Feb,259.5570507
2011,Feb,167.7953631
2011,Feb,148.7588789
2011,Mar,144.8007954
2011,Mar,244.6524825
2011,Mar,208.7118136
2011,Mar,185.1094497
2011,Mar,182.2030984
2011,Mar,312.8790934
2011,Mar,362.3805179
2011,Mar,237.6412073
2011,Mar,348.2980229
2011,Mar,198.9156266
2011,Mar,226.1498507
2011,Apr,58.82929149
2011,Apr,155.6134122
2011,Apr,136.2186188
2011,Apr,97.19202955
2011,Apr,82.85903609
2011,Apr,515.4812038
2011,Apr,504.5494722
2011,Apr,124.2849246
2011,Apr,404.1931935
2011,Apr,123.6777982
2011,Apr,95.09119642
2011,May,7.557224049
2011,May,21.92802273
2011,May,13.26106763
2011,May,5.086076627
2011,May,9.374613585
2011,May,29.01866474
2011,May,76.04704396
2011,May,26.40686263
2011,May,77.67768049
2011,May,7.486372835
2011,May,0
2011,Jun,0.002069336
2011,Jun,0.697534492
2011,Jun,0
2011,Jun,0
2011,Jun,2.57E-04
2011,Jun,0.877320896
2011,Jun,0.237873172
2011,Jun,0
2011,Jun,2.897471395
2011,Jun,0
2011,Jun,0.001045574
2011,Jul,0
2011,Jul,0.495951422
2011,Jul,0
2011,Jul,0
2011,Jul,0
2011,Jul,0.848274007
2011,Jul,0
2011,Jul,0
2011,Jul,3.880605186
2011,Jul,0
2011,Jul,0
2011,Aug,0
2011,Aug,0.119691861
2011,Aug,0
2011,Aug,0
2011,Aug,8.44E-04
2011,Aug,0
2011,Aug,0
2011,Aug,0
2011,Aug,2.255741466
2011,Aug,0
2011,Aug,0.003148682
2011,Sep,0.053544882
2011,Sep,1.781078004
2011,Sep,0.021089658
2011,Sep,0.429300082
2011,Sep,0.727858307
2011,Sep,5.285989642
2011,Sep,9.263116864
2011,Sep,0.466982216
2011,Sep,11.53201541
2011,Sep,0
2011,Sep,0.054766176
2011,Oct,9.104053696
2011,Oct,24.85244323
2011,Oct,31.54849573
2011,Oct,18.79175287
2011,Oct,14.48210111
2011,Oct,16.67194388
2011,Oct,12.37012804
2011,Oct,28.39371341
2011,Oct,30.27218207
2011,Oct,19.96879218
2011,Oct,14.86900892
2011,Nov,47.91703776
2011,Nov,85.64480485
2011,Nov,108.6809484
2011,Nov,105.2236286
2011,Nov,98.09141426
2011,Nov,92.64621986
2011,Nov,67.57798629
2011,Nov,72.13874438
2011,Nov,120.4875615
2011,Nov,113.9061542
2011,Nov,90.34898443
2011,Dec,221.2134498
2011,Dec,261.5832061
2011,Dec,217.9152273
2011,Dec,191.8036976
2011,Dec,252.6594338
2011,Dec,251.5829795
2011,Dec,225.546846
2011,Dec,243.5714929
2011,Dec,307.838519
2011,Dec,180.6260045
2011,Dec,236.3666079
2012,Jan,139.0985737
2012,Jan,205.7151913
2012,Jan,182.5265718
2012,Jan,174.9816802
2012,Jan,170.21709
2012,Jan,199.6863591
2012,Jan,189.0218277
2012,Jan,202.5496719
2012,Jan,228.6949629
2012,Jan,185.0262319
2012,Jan,208.2801491
2012,Feb,122.5422887
2012,Feb,201.7721625
2012,Feb,201.4399476
2012,Feb,183.2421938
2012,Feb,153.3906983
2012,Feb,194.0994788
2012,Feb,163.6324144
2012,Feb,188.401148
2012,Feb,212.740382
2012,Feb,181.429948
2012,Feb,173.279804
2012,Mar,109.6463214
2012,Mar,178.9528672
2012,Mar,154.4675849
2012,Mar,143.2937689
2012,Mar,147.6020967
2012,Mar,184.5682767
2012,Mar,223.4452644
2012,Mar,180.0614453
2012,Mar,230.2572277
2012,Mar,125.8431634
2012,Mar,194.6630904
2012,Apr,54.89264212
2012,Apr,77.95223287
2012,Apr,64.16182559
2012,Apr,48.11751054
2012,Apr,62.90503037
2012,Apr,166.6294941
2012,Apr,243.2344524
2012,Apr,62.57919925
2012,Apr,191.5983844
2012,Apr,40.320491
2012,Apr,43.59869032
2012,May,7.470455711
2012,May,31.07069915
2012,May,28.84344297
2012,May,14.94802362
2012,May,13.14751276
2012,May,33.16404205
2012,May,57.46508248
2012,May,30.07569632
2012,May,71.40050593
2012,May,22.84838605
2012,May,6.194679895
2012,Jun,0.002175185
2012,Jun,0.723248991
2012,Jun,0
2012,Jun,0
2012,Jun,0
2012,Jun,0.90338899
2012,Jun,0.246542085
2012,Jun,0
2012,Jun,3.005143197
2012,Jun,0
2012,Jun,0
2012,Jul,0
2012,Jul,0.496008838
2012,Jul,0
2012,Jul,0
2012,Jul,0
2012,Jul,0.850102475
2012,Jul,0
2012,Jul,0
2012,Jul,3.881517383
2012,Jul,0
2012,Jul,0
2012,Aug,4.98E-04
2012,Aug,0.245329909
2012,Aug,0.036227897
2012,Aug,2.59E-04
2012,Aug,0
2012,Aug,0
2012,Aug,0
2012,Aug,0
2012,Aug,2.534447973
2012,Aug,0
2012,Aug,0
2012,Sep,0
2012,Sep,1.04668043
2012,Sep,0.101424152
2012,Sep,0
2012,Sep,0.026140158
2012,Sep,4.003838207
2012,Sep,7.377859132
2012,Sep,0
2012,Sep,9.518356238
2012,Sep,0
2012,Sep,0.751740759
2012,Oct,18.06106923
2012,Oct,34.04900727
2012,Oct,28.99809011
2012,Oct,22.33848039
2012,Oct,19.43771182
2012,Oct,29.94598091
2012,Oct,27.02304992
2012,Oct,36.31063386
2012,Oct,50.55251625
2012,Oct,31.49373197
2012,Oct,16.18960599
2012,Nov,42.90710661
2012,Nov,88.74279245
2012,Nov,81.24684553
2012,Nov,66.26419884
2012,Nov,75.35223449
2012,Nov,108.7074444
2012,Nov,118.3852774
2012,Nov,81.14493182
2012,Nov,148.0061383
2012,Nov,79.85921617
2012,Nov,63.93570626
2012,Dec,167.5836666
2012,Dec,289.9648047
2012,Dec,282.1946944
2012,Dec,264.165734
2012,Dec,212.975448
2012,Dec,270.2615591
2012,Dec,261.9954862
2012,Dec,288.1767617
2012,Dec,338.896595
2012,Dec,211.9026341
2012,Dec,283.3795516
2013,Jan,166.0560369
2013,Jan,192.9987336
2013,Jan,159.1810338
2013,Jan,129.5755028
2013,Jan,145.4954493
2013,Jan,171.7959672
2013,Jan,176.1900973
2013,Jan,194.5942673
2013,Jan,217.0333451
2013,Jan,143.5978398
2013,Jan,146.0953781
2013,Feb,133.8210747
2013,Feb,201.4619099
2013,Feb,195.6602976
2013,Feb,183.3783012
2013,Feb,145.1622272
2013,Feb,188.9292414
2013,Feb,165.7637249
2013,Feb,197.4742608
2013,Feb,213.2164709
2013,Feb,178.0497703
2013,Feb,204.3124674
2013,Mar,144.991295
2013,Mar,227.1666305
2013,Mar,190.758135
2013,Mar,158.5020399
2013,Mar,168.3831113
2013,Mar,256.2313366
2013,Mar,337.6280955
2013,Mar,229.6196054
2013,Mar,332.7169673
2013,Mar,182.917615
2013,Mar,171.3176422
2013,Apr,61.1959435
2013,Apr,135.7764844
2013,Apr,101.4897793
2013,Apr,91.60347272
2013,Apr,126.2694236
2013,Apr,333.6141028
2013,Apr,309.4303776
2013,Apr,124.7534143
2013,Apr,306.0436675
2013,Apr,80.91691271
2013,Apr,154.0247782
2013,May,12.28797501
2013,May,45.33269515
2013,May,30.35989355
2013,May,10.62211297
2013,May,8.847892996
2013,May,72.0117489
2013,May,79.64669269
2013,May,65.35817595
2013,May,147.1884107
2013,May,20.81858543
2013,May,1.39457554
2013,Jun,0.00117423
2013,Jun,0.850659946
2013,Jun,0
2013,Jun,0
2013,Jun,0
2013,Jun,0
2013,Jun,0.011310409
2013,Jun,0.513951948
2013,Jun,1.881589724
2013,Jun,0
2013,Jun,0
2013,Jul,0
2013,Jul,0.388960733
2013,Jul,0
2013,Jul,0
2013,Jul,0
2013,Jul,0.216084136
2013,Jul,0
2013,Jul,0
2013,Jul,2.723150119
2013,Jul,0
2013,Jul,0
2013,Aug,0
2013,Aug,0.001309283
2013,Aug,0
2013,Aug,8.97E-04
2013,Aug,9.27E-05
2013,Aug,0.002556481
2013,Aug,0
2013,Aug,0
2013,Aug,0.541162061
2013,Aug,0
2013,Aug,0
2013,Sep,0.331286644
2013,Sep,2.090097846
2013,Sep,0.25240793
2013,Sep,0.206703887
2013,Sep,0.994598904
2013,Sep,6.516150482
2013,Sep,9.381897103
2013,Sep,0.580126677
2013,Sep,10.04614908
2013,Sep,0
2013,Sep,2.270511609
2013,Oct,4.968671338
2013,Oct,8.828468345
2013,Oct,12.57154436
2013,Oct,7.030683266
2013,Oct,6.533309151
2013,Oct,8.073747173
2013,Oct,7.845931526
2013,Oct,9.160080358
2013,Oct,14.5267098
2013,Oct,10.21068945
2013,Oct,6.233568979
2013,Nov,23.38059861
2013,Nov,55.09551529
2013,Nov,46.7773707
2013,Nov,40.41982062
2013,Nov,39.82962921
2013,Nov,69.01605489
2013,Nov,72.15845515
2013,Nov,51.86864077
2013,Nov,100.5963463
2013,Nov,58.7324758
2013,Nov,30.42630558
2013,Dec,213.5453002
2013,Dec,358.6745869
2013,Dec,315.2183555
2013,Dec,277.8665058
2013,Dec,288.1582651
2013,Dec,321.4304013
2013,Dec,267.7466653
2013,Dec,350.4919346
2013,Dec,421.1107921
2013,Dec,299.7989757
2013,Dec,331.6097288
2014,Jan,234.5540308
2014,Jan,299.5935051
2014,Jan,251.223469
2014,Jan,214.3499222
2014,Jan,239.1413126
2014,Jan,277.2495758
2014,Jan,266.9195515
2014,Jan,298.9469613
2014,Jan,330.9977785
2014,Jan,230.3367252
2014,Jan,243.50803
2014,Feb,148.7771777
2014,Feb,202.4898863
2014,Feb,175.5865348
2014,Feb,157.5557997
2014,Feb,146.5805435
2014,Feb,192.1587349
2014,Feb,170.2756974
2014,Feb,194.9756095
2014,Feb,226.0334142
2014,Feb,158.8087772
2014,Feb,164.4168182
2014,Mar,153.3514961
2014,Mar,244.8980982
2014,Mar,210.5935681
2014,Mar,181.8880304
2014,Mar,189.8062029
2014,Mar,245.6714307
2014,Mar,258.0763864
2014,Mar,252.5858151
2014,Mar,315.4504649
2014,Mar,187.5173713
2014,Mar,244.0911883
2014,Apr,95.26932751
2014,Apr,169.4093888
2014,Apr,135.5263063
2014,Apr,107.4084742
2014,Apr,118.2123257
2014,Apr,372.2977426
2014,Apr,588.4315427
2014,Apr,163.8604663
2014,Apr,379.006629
2014,Apr,114.818041
2014,Apr,130.2180526
2014,May,8.535819048
2014,May,13.6373815
2014,May,12.53278947
2014,May,6.588531743
2014,May,7.006433281
2014,May,26.89929879
2014,May,34.60086268
2014,May,17.27836483
2014,May,48.3928645
2014,May,8.957950958
2014,May,0
2014,Jun,0.001267368
2014,Jun,0.957735651
2014,Jun,0
2014,Jun,0
2014,Jun,0
2014,Jun,0.271445045
2014,Jun,0.661261529
2014,Jun,0.60028975
2014,Jun,2.625302703
2014,Jun,0
2014,Jun,0
2014,Jul,0
2014,Jul,0.396383711
2014,Jul,0
2014,Jul,0
2014,Jul,0
2014,Jul,0.216920967
2014,Jul,0
2014,Jul,0
2014,Jul,2.764212117
2014,Jul,0
2014,Jul,0
2014,Aug,0
2014,Aug,0.007766624
2014,Aug,0
2014,Aug,0
2014,Aug,0
2014,Aug,0.002626798
2014,Aug,0
2014,Aug,0
2014,Aug,1.285983017
2014,Aug,0
2014,Aug,0
2014,Sep,0.039454386
2014,Sep,1.516443151
2014,Sep,0.208945302
2014,Sep,0.011764366
2014,Sep,0.022898124
2014,Sep,5.516161818
2014,Sep,8.24976899
2014,Sep,0.499712998
2014,Sep,8.993883372
2014,Sep,0
2014,Sep,1.494342236
2014,Oct,12.00868218
2014,Oct,25.42542242
2014,Oct,34.03939946
2014,Oct,20.71991506
2014,Oct,19.30667973
2014,Oct,17.64966007
2014,Oct,14.72674747
2014,Oct,29.16542212
2014,Oct,34.37610185
2014,Oct,23.08660414
2014,Oct,21.24542648
2014,Nov,44.53458605
2014,Nov,68.92269154
2014,Nov,66.95608162
2014,Nov,58.33270671
2014,Nov,77.7997125
2014,Nov,72.03701523
2014,Nov,71.79429231
2014,Nov,68.25242154
2014,Nov,108.8569432
2014,Nov,72.85435009
2014,Nov,67.13192188
2014,Dec,148.4895665
2014,Dec,207.2122735
2014,Dec,173.5963797
2014,Dec,133.6090851
2014,Dec,158.7693831
2014,Dec,153.0620303
2014,Dec,147.5085204
2014,Dec,204.9301978
2014,Dec,225.0019582
2014,Dec,129.56541
2014,Dec,177.2523595
2015,Jan,147.8848667
2015,Jan,193.0177512
2015,Jan,188.7153467
2015,Jan,164.1844048
2015,Jan,177.7283157
2015,Jan,199.1538593
2015,Jan,187.8723631
2015,Jan,183.3219702
2015,Jan,222.6782066
2015,Jan,176.972261
2015,Jan,202.9617047
2015,Feb,107.8538649
2015,Feb,171.147848
2015,Feb,183.7680469
2015,Feb,178.7515527
2015,Feb,124.7453537
2015,Feb,156.2379292
2015,Feb,126.0506881
2015,Feb,159.2674739
2015,Feb,171.573368
2015,Feb,167.6671786
2015,Feb,163.8197274
2015,Mar,98.22547575
2015,Mar,157.298415
2015,Mar,139.3609484
2015,Mar,121.2280952
2015,Mar,117.5076627
2015,Mar,170.5166331
2015,Mar,192.9102294
2015,Mar,153.205285
2015,Mar,221.5821355
2015,Mar,127.032823
2015,Mar,155.5850451
2015,Apr,77.04118022
2015,Apr,136.1626156
2015,Apr,188.5854751
2015,Apr,138.3537577
2015,Apr,172.077776
2015,Apr,370.1723829
2015,Apr,482.5141964
2015,Apr,103.6560272
2015,Apr,332.5925216
2015,Apr,159.2875762
2015,Apr,189.4892863
2015,May,17.74303413
2015,May,35.13774922
2015,May,27.54535046
2015,May,10.91244727
2015,May,27.85874997
2015,May,50.33261862
2015,May,90.01968231
2015,May,39.42548055
2015,May,99.03798969
2015,May,21.86941735
2015,May,5.390256634
2015,Jun,0.001369354
2015,Jun,1.051631273
2015,Jun,0
2015,Jun,0
2015,Jun,0
2015,Jun,0.619339263
2015,Jun,0.956870928
2015,Jun,0.656487065
2015,Jun,3.463953404
2015,Jun,0
2015,Jun,0
2015,Jul,0
2015,Jul,0.396383378
2015,Jul,0
2015,Jul,0
2015,Jul,0
2015,Jul,0.216920718
2015,Jul,0
2015,Jul,0
2015,Jul,2.764208962
2015,Jul,0
2015,Jul,0
2015,Aug,0
2015,Aug,0.030806601
2015,Aug,0
2015,Aug,0
2015,Aug,0
2015,Aug,0.00259104
2015,Aug,0
2015,Aug,0.169342791
2015,Aug,0.54888908
2015,Aug,0
2015,Aug,0
2015,Sep,0.032191132
2015,Sep,1.608868663
2015,Sep,0.357086662
