year,month,temp,ward
2010,Jan,21.61084248,Mbarali
2010,Jan,19.06803908,Mbeya Rural
2010,Jan,20.36812911,Mbozi
2010,Jan,21.71821214,Momba
2010,Jan,21.20408796,Chunya
2010,Jan,19.91825753,Ileje
2010,Jan,23.38490703,Kyela
2010,Jan,18.2559011,Mbeya Urban
2010,Jan,20.28458136,Rungwe
2010,Jan,19.76702451,Tunduma
2010,Jan,24.50861957,Administrative unit not available
2010,Feb,22.12343765,Mbarali
2010,Feb,19.64986994,Mbeya Rural
2010,Feb,20.99848606,Mbozi
2010,Feb,22.18310897,Momba
2010,Feb,21.74431833,Chunya
2010,Feb,20.37963401,Ileje
2010,Feb,23.49916121,Kyela
2010,Feb,18.7570134,Mbeya Urban
2010,Feb,20.56710079,Rungwe
2010,Feb,20.38594409,Tunduma
2010,Feb,25.05050472,Administrative unit not available
2010,Mar,22.19010666,Mbarali
2010,Mar,19.19602299,Mbeya Rural
2010,Mar,20.48382094,Mbozi
2010,Mar,21.78888314,Momba
2010,Mar,21.52897144,Chunya
2010,Mar,19.50619612,Ileje
2010,Mar,22.45839685,Kyela
2010,Mar,18.38792683,Mbeya Urban
2010,Mar,19.66695678,Rungwe
2010,Mar,19.77860077,Tunduma
2010,Mar,24.76768843,Administrative unit not available
2010,Apr,22.49035644,Mbarali
2010,Apr,19.42016647,Mbeya Rural
2010,Apr,20.80261931,Mbozi
2010,Apr,22.42793361,Momba
2010,Apr,22.28485314,Chunya
2010,Apr,19.14241413,Ileje
2010,Apr,22.15019694,Kyela
2010,Apr,18.56219315,Mbeya Urban
2010,Apr,19.1272832,Rungwe
2010,Apr,19.81961865,Tunduma
2010,Apr,25.88462376,Administrative unit not available
2010,May,22.62473438,Mbarali
2010,May,18.68548482,Mbeya Rural
2010,May,20.25646964,Mbozi
2010,May,22.16450277,Momba
2010,May,22.64032384,Chunya
2010,May,17.91888671,Ileje
2010,May,20.92580252,Kyela
2010,May,17.81317305,Mbeya Urban
2010,May,17.80455385,Rungwe
2010,May,19.15166191,Tunduma
2010,May,25.57500382,Administrative unit not available
2010,Jun,20.50003645,Mbarali
