year,month,mm,ADM2_NAME,ADM1_NAME
2010,Jan,239.6979565,Kalambo,Rukwa
2010,Jan,209.1032907,Sumbawanga Rural,Rukwa
2010,Jan,184.0163757,Nkasi,Rukwa
2010,Jan,196.649942,Sumbawanga Urban,Rukwa
2010,Jan,206.0874109,Administrative unit not available,Rukwa
2010,Feb,159.3330385,Kalambo,Rukwa
2010,Feb,148.0501536,Sumbawanga Rural,Rukwa
2010,Feb,144.2312604,Nkasi,Rukwa
2010,Feb,141.8626768,Sumbawanga Urban,Rukwa
2010,Feb,153.8571824,Administrative unit not available,Rukwa
2010,Mar,190.6870189,Kalambo,Rukwa
2010,Mar,189.4477404,Sumbawanga Rural,Rukwa
2010,Mar,175.162595,Nkasi,Rukwa
2010,Mar,180.6003411,Sumbawanga Urban,Rukwa
2010,Mar,235.4956079,Administrative unit not available,Rukwa
2010,Apr,37.73774353,Kalambo,Rukwa
2010,Apr,20.79912115,Sumbawanga Rural,Rukwa
2010,Apr,38.24669842,Nkasi,Rukwa
2010,Apr,19.57777328,Sumbawanga Urban,Rukwa
2010,Apr,38.90846291,Administrative unit not available,Rukwa
2010,May,14.56409378,Kalambo,Rukwa
2010,May,11.22805021,Sumbawanga Rural,Rukwa
2010,May,11.59114931,Nkasi,Rukwa
2010,May,12.81275125,Sumbawanga Urban,Rukwa
2010,May,7.038896914,Administrative unit not available,Rukwa
2010,Jun,0.002617639,Kalambo,Rukwa
2010,Jun,0,Sumbawanga Rural,Rukwa
2010,Jun,0,Nkasi,Rukwa
2010,Jun,0.182212397,Sumbawanga Urban,Rukwa
2010,Jun,0,Administrative unit not available,Rukwa
2010,Jul,0,Kalambo,Rukwa
2010,Jul,0,Sumbawanga Rural,Rukwa
2010,Jul,0,Nkasi,Rukwa
2010,Jul,0,Sumbawanga Urban,Rukwa
2010,Jul,0,Administrative unit not available,Rukwa
2010,Aug,0,Kalambo,Rukwa
2010,Aug,0,Sumbawanga Rural,Rukwa
2010,Aug,0,Nkasi,Rukwa
2010,Aug,0,Sumbawanga Urban,Rukwa
2010,Aug,0,Administrative unit not available,Rukwa
2010,Sep,0.128958098,Kalambo,Rukwa
2010,Sep,0.151776775,Sumbawanga Rural,Rukwa
2010,Sep,0.296596641,Nkasi,Rukwa
2010,Sep,0.058786689,Sumbawanga Urban,Rukwa
2010,Sep,0.121643805,Administrative unit not available,Rukwa
2010,Oct,7.813220128,Kalambo,Rukwa
2010,Oct,2.510328018,Sumbawanga Rural,Rukwa
2010,Oct,6.298021524,Nkasi,Rukwa
2010,Oct,6.169843677,Sumbawanga Urban,Rukwa
2010,Oct,6.748725547,Administrative unit not available,Rukwa
2010,Nov,57.39905346,Kalambo,Rukwa
2010,Nov,32.98398069,Sumbawanga Rural,Rukwa
2010,Nov,60.57854785,Nkasi,Rukwa
2010,Nov,38.74915706,Sumbawanga Urban,Rukwa
2010,Nov,54.69139334,Administrative unit not available,Rukwa
2010,Dec,205.9271091,Kalambo,Rukwa
2010,Dec,185.8969112,Sumbawanga Rural,Rukwa
2010,Dec,204.1366481,Nkasi,Rukwa
2010,Dec,195.9768446,Sumbawanga Urban,Rukwa
2010,Dec,215.7707023,Administrative unit not available,Rukwa
2011,Jan,219.3017911,Kalambo,Rukwa
2011,Jan,172.4891439,Sumbawanga Rural,Rukwa
2011,Jan,194.3294588,Nkasi,Rukwa
2011,Jan,177.4177161,Sumbawanga Urban,Rukwa
2011,Jan,204.9986139,Administrative unit not available,Rukwa
2011,Feb,137.4717004,Kalambo,Rukwa
2011,Feb,128.3743451,Sumbawanga Rural,Rukwa
2011,Feb,115.0236597,Nkasi,Rukwa
2011,Feb,109.0654816,Sumbawanga Urban,Rukwa
2011,Feb,125.8721383,Administrative unit not available,Rukwa
2011,Mar,210.2764538,Kalambo,Rukwa
2011,Mar,182.0048378,Sumbawanga Rural,Rukwa
2011,Mar,174.8907061,Nkasi,Rukwa
2011,Mar,167.8924385,Sumbawanga Urban,Rukwa
2011,Mar,226.5612485,Administrative unit not available,Rukwa
2011,Apr,92.93784055,Kalambo,Rukwa
2011,Apr,67.76185864,Sumbawanga Rural,Rukwa
2011,Apr,92.54509152,Nkasi,Rukwa
2011,Apr,93.01087252,Sumbawanga Urban,Rukwa
2011,Apr,98.50996658,Administrative unit not available,Rukwa
2011,May,7.017956851,Kalambo,Rukwa
