year,month,mm
2010,Jan,224.9304409
2010,Feb,165.8933325
2010,Mar,208.9374539
2010,Apr,42.74516204
2010,May,10.27757108
2010,Jun,0.065611999
2010,Jul,0
2010,Aug,0
2010,Sep,0.030923791
2010,Oct,5.200055896
2010,Nov,47.09386916
2010,Dec,194.3307202
2011,Jan,183.7288455
2011,Feb,157.2480375
2011,Mar,231.8062491
2011,Apr,83.45643702
2011,May,4.911673311
2011,Jun,0.154911627
2011,Jul,0
2011,Aug,0
2011,Sep,0.678988393
2011,Oct,23.78379796
2011,Nov,116.2992487
2011,Dec,207.9100057
2012,Jan,205.2959701
2012,Feb,194.9290844
2012,Mar,174.5667808
2012,Apr,35.72620665
2012,May,12.23058192
2012,Jun,0.003847587
2012,Jul,0
2012,Aug,0.023481745
2012,Sep,0.781219219
2012,Oct,27.3672681
2012,Nov,94.79093286
2012,Dec,269.1534903
2013,Jan,163.1523363
2013,Feb,211.4279281
2013,Mar,183.3352314
2013,Apr,104.6688233
2013,May,10.5203877
2013,Jun,0
2013,Jul,0
2013,Aug,0.004092866
2013,Sep,1.292723687
2013,Oct,7.347482443
2013,Nov,72.34050237
2013,Dec,337.6133488
2014,Jan,252.0447988
2014,Feb,187.0268541
2014,Mar,220.1790101
2014,Apr,102.1618975
2014,May,7.151950032
2014,Jun,0
2014,Jul,0
2014,Aug,3.21E-04
2014,Sep,0.153310165
2014,Oct,23.14736884
2014,Nov,74.46461605
2014,Dec,157.5460569
2015,Jan,196.066145
2015,Feb,195.3583288
2015,Mar,142.9975994
2015,Apr,155.8058925
2015,May,11.7326333
2015,Jun,6.41E-04
2015,Jul,0
2015,Aug,0.005936885
2015,Sep,0.715256337
2015,Oct,22.6108274
2015,Nov,120.7879357
2015,Dec,221.3217886
2016,Jan,341.182669
2016,Feb,163.3230774
2016,Mar,265.5345892
2016,Apr,96.97105822
2016,May,9.853720105
2016,Jun,0
2016,Jul,0
2016,Aug,0.088477204
2016,Sep,1.426936378
2016,Oct,11.93855144
2016,Nov,38.27358807
2016,Dec,151.1150444
2017,Jan,227.5198206
2017,Feb,222.7793086
2017,Mar,206.2014631
2017,Apr,98.84501729
2017,May,10.08547917
2017,Jun,0
2017,Jul,0
2017,Aug,0.037841262
2017,Sep,1.30832287
2017,Oct,19.69172861
2017,Nov,119.4145972
2017,Dec,218.7801575
2018,Jan,228.1843324
2018,Feb,150.056479
2018,Mar,216.7221075
2018,Apr,161.1630239
2018,May,10.477632
2018,Jun,0
2018,Jul,0
2018,Aug,0.136860537
2018,Sep,2.984309942
2018,Oct,15.07205691
2018,Nov,49.42656782
2018,Dec,244.6495547
2019,Jan,180.8103616
2019,Feb,211.9148743
2019,Mar,222.4122708
2019,Apr,111.388587
2019,May,14.06499275
2019,Jun,0.533783477
2019,Jul,0
2019,Aug,0
2019,Sep,1.152324138
2019,Oct,14.54465943
2019,Nov,119.1687746
2019,Dec,247.1576648
2020,Jan,288.137555
2020,Feb,207.2821093
2020,Mar,319.7112103
2020,Apr,120.1478762
2020,May,9.739233036
2020,Jun,1.04979927
2020,Jul,0.057782642
2020,Aug,0.001101129
2020,Sep,1.669534217
2020,Oct,15.36467549
2020,Nov,88.02725567
2020,Dec,205.643145
2021,Jan,216.3821254
2021,Feb,213.460657
2021,Mar,193.4405192
2021,Apr,74.10252208
2021,May,9.301961641
2021,Jun,0
2021,Jul,0
2021,Aug,0
2021,Sep,0.249477592
2021,Oct,8.941049758
2021,Nov,71.89142194
2021,Dec,130.8525284
2022,Jan,383.2837824
2022,Feb,368.3537249
2022,Mar,255.0453285
2022,Apr,107.4608493
2022,May,7.362621368
2022,Jun,0.633897772
2022,Jul,0
2022,Aug,0.011626928
2022,Sep,3.073010124
2022,Oct,2.093410177
2022,Nov,80.24567781
2022,Dec,357.0566423
2023,Jan,233.0641429
2023,Feb,104.6795998
2023,Mar,265.3314275
2023,Apr,149.7749746
2023,May,10.46912007
2023,Jun,0
2023,Jul,0
2023,Aug,5.46E-04
2023,Sep,1.681359787
2023,Oct,13.36719443
2023,Nov,100.864163
2023,Dec,382.8601014
2024,Jan,181.8524374
2024,Feb,343.8729949
2024,Mar,193.5470777
2024,Apr,131.4124857
2024,May,7.396753485
2024,Jun,0.551993753
2024,Jul,5.67E-04
2024,Aug,0.418234613
2024,Sep,5.339955083
2024,Oct,30.87991738
2024,Nov,92.71134959
2024,Dec,163.8513155
